INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Rede Decisão/União,ALUNO-365,5G,Sim,8.396.044.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958.335,9.6,5,6.666.666.666.666.660,859.375,9.125.005.000.000.000,10
,ALUNO-366,,,,,,,,,,,,,,
Escola Pública,ALUNO-367,3F,Não,8.325.834.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916.668,9.4,7.5,6.666.666.666.666.660,8.125,8.166.666.666.666.660,10
UNISA,ALUNO-368,8A,,8.695.001.000.000.000,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,875.001,10,7.5,8.3,0,0,10
,ALUNO-369,,,,,,,,,,,,,,
Escola Pública,ALUNO-370,3G,Sim,8.613.335,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,9.9,7.5,6.5,8.75,9.166.669.999.999.990,10
Rede Decisão/União,ALUNO-371,7B,Não,7.379.792.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791.667,7.8,5,7.333.333.333.333.330,578.125,741.667,10
Escola Pública,ALUNO-372,2E,Não,6.816.668.000.000.000,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8,5,6,7.5,683.333,5
Escola Pública,ALUNO-373,3M,Não,6.216.666.833.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875.001,5,5.625,5.666.666.666.666.660,8.125,66.666.625,5
,ALUNO-374,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-375,2B,Sim,9.335.420.000.000.000,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.5,7.5,9.5,9.6875,958.334,10
,ALUNO-376,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-377,3G,Não,7.412.223.000.000.000,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.583.350.000.000.000,6.7,4.375,6,8.541.666.666.666.660,8.111.106.666.666.660,10
Rede Decisão/União,ALUNO-378,5G,Não,79.691.670.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791.667,9.7,3.75,7,8.125,8.25,10
Escola Pública,ALUNO-379,3H,Não,5.6825,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000.020.000.000.000,6.6,5,4.166.666.666.666.660,5.625,4.833.323.333.333.330,5
FIAP,ALUNO-380,8A,,53.950.000.000.000.000,Quartzo,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,0,0,4.375,8.8,0,0,10
Escola Pública,ALUNO-381,0D,Não,6.443.336,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,9.8,2.5,8.5,2.5,416.667,5
FIAP,ALUNO-382,8A,,8.848.334.000.000.000,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,833.334,10,6.875,9.1,0,0,10
Escola Pública,ALUNO-383,0E,Não,7.918.752,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,10,6.875,7.5,7.8125,7.5,5
,ALUNO-384,,,,,,,,,,,,,,
Escola Pública,ALUNO-385,3R,Não,7.338.057,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,875.001,8.6,7.5,6,7.708.333.333.333.330,7.611.113.333.333.330,5
,ALUNO-386,,,,,,,,,,,,,,
Escola Pública,ALUNO-387,2R,Não,6.289.445.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,5.6,4.375,6,6.875,7.222.216.666.666.660,5
Escola Pública,ALUNO-388,2C,Não,70.419.453.333.333.300,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,8.8,7.5,5.5,6.875,7.222.216.666.666.660,5
Escola Pública,ALUNO-389,5A,Sim,8.404.168.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,833.334,9,7.5,9.333.333.333.333.330,8.541.666.666.666.660,9.000.006.666.666.660,5
Escola Pública,ALUNO-390,5A,Não,7.425.278.666.666.660,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833.334,5.3,7.5,7.666.666.666.666.660,7.708.333.333.333.330,738.889,10
,ALUNO-391,,,,,,,,,,,,,,
,ALUNO-392,,,,,,,,,,,,,,
Escola Pública,ALUNO-393,2F,Não,7.212.501.333.333.330,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,7.5,6.875,4.25,7.083.333.333.333.330,7.833.329.999.999.990,10
Rede Decisão/União,ALUNO-394,4F,Não,5.934.999.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,5.3,5,6.333.333.333.333.330,6.25,6.166.665,5
,ALUNO-395,,,,,,,,,,,,,,
Escola Pública,ALUNO-396,4A,Não,7.454.722,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.1,7.5,8,8.125,611.111,5
Rede Decisão/União,ALUNO-397,3B,Não,7.687.500.833.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,916.668,9.5,4.375,6.666.666.666.666.660,7.5,67.499.975,10
,ALUNO-398,,,,,,,,,,,,,,
Escola Pública,ALUNO-399,2P,Não,4.233.888,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,4.6,6.875,0,7.708.333.333.333.330,6.777.773.333.333.330,5
Escola Pública,ALUNO-400,1C,Não,4.864.168.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,4.3,3.75,0,7.291.666.666.666.660,7.5,5
Escola Pública,ALUNO-401,3L,Não,8.410.210.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958.335,9.9,7.5,6.166.666.666.666.660,796.875,8.458.335,10
,ALUNO-402,,,,,,,,,,,,,,
,ALUNO-403,,,,,,,,,,,,,,
Rede Decisão/União,ALUNO-404,3L,Não,8.318.544.833.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,9.9,4.375,6.666.666.666.666.660,859.375,85.416.725,10
,ALUNO-405,,,,,,,,,,,,,,
Escola Pública,ALUNO-406,1D,Não,7.978.752.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.8,7.5,9.5,7.1875,7.25,5
Rede Decisão/União,ALUNO-407,3L,Sim,8.289.376.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,583.333,9.9,5,7.666.666.666.666.660,859.375,9.166.675.000.000.000,10
Escola Pública,ALUNO-408,0C,Não,9.316.669.000.000.000,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,10,10,10,7.5,8.333.335,10
,ALUNO-409,,,,,,,,,,,,,,
,ALUNO-410,,,,,,,,,,,,,,
,ALUNO-411,,,,,,,,,,,,,,
,ALUNO-412,,,,,,,,,,,,,,
,ALUNO-413,,,,,,,,,,,,,,
Escola Pública,ALUNO-414,2P,Não,5.773.612,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,69.166.799.999.999.900,8,7.5,0,8.541.666.666.666.660,6.888.886.666.666.660,5
,ALUNO-415,,,,,,,,,,,,,,
Escola Pública,ALUNO-416,2G,Não,7.780.279.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.7,6.25,7,7.708.333.333.333.330,822.222,5
,ALUNO-417,,,,,,,,,,,,,,
,ALUNO-418,,,,,,,,,,,,,,
,ALUNO-419,,,,,,,,,,,,,,
,ALUNO-420,,,,,,,,,,,,,,
Escola Pública,ALUNO-421,3A,Não,7.137.293.833.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958.335,5.9,7.5,7.666.666.666.666.660,765.625,72.500.025,5
,ALUNO-422,,,,,,,,,,,,,,
,ALUNO-423,,,,,,,,,,,,,,
Escola Pública,ALUNO-424,1G,Não,7.912.085,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.8,7.5,9,7.1875,7.416.665,5
Escola Pública,ALUNO-425,3H,Não,7.131.665.666.666.660,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,6.2,7.5,7.333.333.333.333.330,6.666.666.666.666.660,5.666.656.666.666.660,10
Escola Pública,ALUNO-426,1K,Não,6.645.835.333.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000.020.000.000.000,6.5,7.5,5,7.291.666.666.666.660,7.833.333.333.333.330,5
,ALUNO-427,,,,,,,,,,,,,,
,ALUNO-428,,,,,,,,,,,,,,
,ALUNO-429,,,,,,,,,,,,,,
,ALUNO-430,,,,,,,,,,,,,,
Escola Pública,ALUNO-431,0F,Não,6.814.172.000.000.000,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,9.8,6.875,8.5,2.5,38.333.499.999.999.900,5
,ALUNO-432,,,,,,,,,,,,,,
,ALUNO-433,,,,,,,,,,,,,,
,ALUNO-434,,,,,,,,,,,,,,
Escola Pública,ALUNO-435,4B,Não,7.312.779.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,750.001,8.8,7.5,5.333.333.333.333.330,8.749.999.999.999.990,8.055.560.000.000.000,5
,ALUNO-436,,,,,,,,,,,,,,
Escola Pública,ALUNO-437,1C,Não,7.808.335.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.000.020.000.000.000,8.5,7.5,5.5,7.916.666.666.666.660,7.333.333.333.333.330,10
,ALUNO-438,,,,,,,,,,,,,,
Escola Pública,ALUNO-439,4L,Não,4.931.111.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,958.335,3.6,7.5,0,7.916.666.666.666.660,6.055.549.999.999.990,5
,ALUNO-440,,,,,,,,,,,,,,
Escola Pública,ALUNO-441,2J,Não,7.599.446,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,7.4,6.25,8.5,5,672.222,10
Escola Pública,ALUNO-442,0F,Não,8.216.668,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,10,7.5,9.5,7.5,733.333,5
Escola Pública,ALUNO-443,2P,Não,7.670.558.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,9.7,7.5,6,8.749.999.999.999.990,7.777.780.000.000.000,5
,ALUNO-444,,,,,,,,,,,,,,
Escola Pública,ALUNO-445,1M,Não,6.662.085.000.000.000,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.3,7.5,4.75,7.1875,7.916.665,5
,ALUNO-446,,,,,,,,,,,,,,
Escola Pública,ALUNO-447,0G,Não,7,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,10,5,9.5,2.5,499.999,5
Escola Pública,ALUNO-448,2R,Não,7.510.557.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,8.9,9.375,1.5,8.541.666.666.666.660,8.444.443.333.333.330,10
Escola Pública,ALUNO-449,1N,Não,8.745.557.333.333.330,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,9.2,7.5,10,7.5,7.277.776.666.666.660,10
Escola Pública,ALUNO-450,4E,Não,6.957.083.833.333.330,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791.667,6.4,7.5,6.666.666.666.666.660,8.4375,72.916.675,5
Escola Pública,ALUNO-451,1E,Não,7.322.224,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,8,6.25,4.5,7.083.333.333.333.330,7.944.443.333.333.330,10
,ALUNO-452,,,,,,,,,,,,,,
Escola Pública,ALUNO-453,1G,Não,5.682.502,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,6.1,7.5,0,8.125,7.75,5
,ALUNO-454,,,,,,,,,,,,,,
Escola Pública,ALUNO-455,2F,Sim,8.586.392.000.000.000,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,9.3,7.5,7,7.708.333.333.333.330,9.277.783.333.333.330,10
,ALUNO-456,,,,,,,,,,,,,,
Escola Pública,ALUNO-457,1J,Não,59.116.686.666.666.600,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,7.1,5.625,0,5.625,7.833.333.333.333.330,10
Escola Pública,ALUNO-458,1C,Não,5.535.835.333.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,6.2,7.5,0,7.291.666.666.666.660,7.333.333.333.333.330,5
Escola Pública,ALUNO-459,5L,Não,5.938.332.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,666.666,6.9,3.125,36.666.666.666.666.600,8.125,7.666.666.666.666.660,5
Escola Pública,ALUNO-460,5G,Sim,8.113.544.166.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958.335,9,4.375,6.333.333.333.333.330,859.375,8.958.337.499.999.990,10
,ALUNO-461,,,,,,,,,,,,,,
Escola Pública,ALUNO-462,5B,Não,7.248.334.333.333.330,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,791.667,8.2,7.5,6,8.333.333.333.333.330,7.666.670.000.000.000,5
Rede Decisão/União,ALUNO-463,3L,Não,8.291.043,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,9.7,5,8,859.375,7.583.335,10
Escola Pública,ALUNO-464,4B,Não,6.841.113.666.666.660,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,958.335,8.4,7.5,0,8.749.999.999.999.990,7.888.893.333.333.330,10
,ALUNO-465,,,,,,,,,,,,,,
Escola Pública,ALUNO-466,6A,Não,5.782.291.333.333.330,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0,6.5,6.25,5.166.666.666.666.660,765.625,7.791.665,5
Escola Pública,ALUNO-467,2M,Não,6.622.917.999.999.990,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,7.5,6.875,3.75,7.1875,758.333,5
Escola Pública,ALUNO-468,1N,Não,7.426.390.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,7.5,5,9,6.875,7.444.443.333.333.330,5
Rede Decisão/União,ALUNO-469,3A,Não,8.347.085.000.000.000,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,875.001,9.1,6.875,8,7.8125,791.667,10
,ALUNO-470,,,,,,,,,,,,,,
,ALUNO-471,,,,,,,,,,,,,,
Escola Pública,ALUNO-472,1K,Não,8.223.057.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,8.9,7.5,9.5,7.708.333.333.333.330,811.111,5
Escola Pública,ALUNO-473,1E,Não,7.809.445.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,7.7,6.875,10,6.875,7.222.216.666.666.660,5
Escola Pública,ALUNO-474,1H,Não,8.033.612.666.666.660,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,8.3,7.5,9.5,7.291.666.666.666.660,772.222,5
,ALUNO-475,,,,,,,,,,,,,,
Escola Pública,ALUNO-476,7B,Não,8.101.250.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833.334,9.1,6.25,7.166.666.666.666.660,7.8125,8.041.665,10
Escola Pública,ALUNO-477,2L,Não,5.791.112.666.666.660,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,5.9,5,2.75,7.5,7.055.553.333.333.330,5
Escola Pública,ALUNO-478,2G,Não,6.578.056.666.666.660,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.500.020.000.000.000,9.3,7.5,2,7.291.666.666.666.660,6.944.439.999.999.990,5
,ALUNO-479,,,,,,,,,,,,,,
,ALUNO-480,,,,,,,,,,,,,,
,ALUNO-481,,,,,,,,,,,,,,
Escola Pública,ALUNO-482,2E,Não,8.342.224,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.000.020.000.000.000,9.6,7.5,8,9.166.666.666.666.660,8.277.776.666.666.660,5
Rede Decisão/União,ALUNO-483,2E,Não,8.374.169.333.333.330,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,9.6,5,8,7.708.333.333.333.330,816.667,10
FIAP,ALUNO-484,8A,,5.703.335,Quartzo,Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.,Ponto a melhorar em 2021: As suas notas na Faculdade.,,958.335,0,3.125,7.8,0,0,10
,ALUNO-485,,,,,,,,,,,,,,
Escola Pública,ALUNO-486,2B,Não,5.862.502.000.000.000,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,9,5,0.5,5.625,7.5,5
Escola Pública,ALUNO-487,0G,Não,878.125,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.500.020.000.000.000,10,7.5,10,7.8125,649.999,10
