,INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2020,TURMA_2022,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
1094,Escola Pública,ALUNO-1095,0,B,Não,9.1,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,10.0,7.5,10.0,7.5,8.0,10.0
1096,Rede Decisão/União,ALUNO-1097,3,B,Não,7.8,Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.58,7.4,7.5,6.6,7.97,7.5,10.0
1102,Escola Pública,ALUNO-1103,2,H,Não,6.3,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.92,8.9,4.38,3.5,4.6,8.5,5.0
1104,Escola Pública,ALUNO-1105,1,D,Não,7.6,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.5,9.4,7.5,7.5,7.1,7.7,5.0
1105,Escola Pública,ALUNO-1106,0,E,Sim,7.7,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.0,9.9,4.38,9.5,2.5,8.8,5.0
1109,Escola Pública,ALUNO-1110,1,A,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,7.7,7.5,8.5,8.0,8.0,5.0
1111,Escola Pública,ALUNO-1112,6,B,Não,6.8,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.92,5.8,6.25,4.5,7.5,7.9,10.0
1118,Escola Pública,ALUNO-1119,1,A,Não,8.5,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,8.8,7.5,9.0,7.8,7.2,10.0
1122,Rede Decisão/União,ALUNO-1123,3,J,Sim,8.2,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.33,8.7,6.88,8.3,9.1,9.6,5.0
1126,Escola Pública,ALUNO-1127,2,B,Sim,7.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,8.2,7.5,6.5,5.0,9.33,5.0
