,INSTITUICAO_ENSINO_ALUNO_2020,NOME,FASE_2020,TURMA_2022,PONTO_VIRADA_2020,INDE_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
0,Escola Pública,ALUNO-1,2,H,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.5,8.7,7.5,7.0,5.9,7.7,10.0
2,Escola Pública,ALUNO-3,3,H,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.92,8.9,7.5,5.5,8.0,8.1,10.0
3,Escola Pública,ALUNO-4,1,D,Não,5.1,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,4.1,6.88,0.0,7.1,7.7,5.0
4,Escola Pública,ALUNO-5,2,M,Não,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.5,8.0,7.5,7.5,8.4,8.1,10.0
7,Rede Decisão/União,ALUNO-8,4,L,Sim,8.4,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.33,9.9,4.38,7.3,8.7,8.94,10.0
9,Escola Pública,ALUNO-10,3,B,Não,5.1,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",5.83,5.2,3.75,0.0,7.97,6.8,10.0
10,Escola Pública,ALUNO-11,0,A,Sim,9.7,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,10.0,8.13,10.0,10.0,1.0,10.0
11,Rede Decisão/União,ALUNO-12,3,G,Não,5.8,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",6.2,6.0,5.63,6.6,5.6,5.2,5.0
13,Escola Pública,ALUNO-14,2,M,Não,6.4,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.0,7.6,6.88,0.0,8.4,7.9,10.0
14,Escola Pública,ALUNO-15,2,D,Não,5.1,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,4.0,7.5,0.0,8.0,7.2,5.0
16,Escola Pública,ALUNO-17,1,G,Não,7.7,Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,6.8,7.5,10.0,6.5,7.7,5.0
17,Escola Pública,ALUNO-18,3,E,Não,7.2,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.58,7.0,7.5,6.5,7.0,7.9,5.0
27,Rede Decisão/União,ALUNO-28,3,J,Sim,9.3,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.58,9.6,6.88,9.0,10.0,9.9,10.0
29,Escola Pública,ALUNO-30,0,C,Não,7.1,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.9,10.0,7.5,4.7,2.5,6.9,10.0
32,Escola Pública,ALUNO-33,3,E,Não,7.0,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",6.67,4.5,7.5,8.6,7.0,6.2,10.0
33,Escola Pública,ALUNO-34,2,C,Não,7.6,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,9.3,6.88,7.0,8.0,7.9,5.0
34,Escola Pública,ALUNO-35,7,B,Não,6.64,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.75,6.1,6.25,5.0,7.66,8.29,5.0
35,Escola Pública,ALUNO-36,3,C,Não,8.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.58,9.9,7.5,8.0,8.7,8.2,5.0
36,Escola Pública,ALUNO-37,2,N,Não,6.6,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,7.7,4.38,2.5,6.4,7.78,10.0
38,Escola Pública,ALUNO-39,3,F,Não,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",6.25,9.4,7.5,8.3,8.5,6.7,10.0
40,Escola Pública,ALUNO-41,1,D,Não,7.4,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,8.3,7.5,7.2,7.5,7.7,5.0
42,Escola Pública,ALUNO-43,4,F,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.5,7.5,7.5,7.0,7.97,8.04,10.0
43,Escola Pública,ALUNO-44,1,M,Não,6.2,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,6.8,7.5,0.0,6.2,7.9,10.0
44,Escola Pública,ALUNO-45,1,G,Não,6.6,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,1.0,7.5,10.0,7.8,7.7,5.0
45,Escola Pública,ALUNO-46,0,C,Não,6.9,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.5,10.0,7.5,0.0,7.5,7.5,10.0
50,Escola Pública,ALUNO-51,0,D,Não,8.9,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.5,9.8,7.5,10.0,8.0,7.4,10.0
51,Escola Pública,ALUNO-52,2,F,Não,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,8.6,6.25,7.0,7.9,8.22,10.0
54,Rede Decisão/União,ALUNO-55,6,C,Sim,6.8,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",0.0,9.0,7.5,6.3,8.28,8.6,5.0
56,Rede Decisão/União,ALUNO-57,6,B,Não,7.3,Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.33,7.1,6.25,5.8,7.5,7.5,10.0
58,Escola Pública,ALUNO-59,3,E,Não,6.5,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.75,3.6,7.5,6.0,7.2,6.4,10.0
59,Rede Decisão/União,ALUNO-60,5,F,Não,7.6,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.5,9.7,6.88,6.6,8.4,8.1,5.0
60,Escola Pública,ALUNO-61,1,N,Não,5.6,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.0,6.5,7.5,0.0,7.0,7.3,5.0
61,Escola Pública,ALUNO-62,2,L,Não,6.3,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.9,6.9,7.5,3.5,7.0,7.5,5.0
67,Escola Pública,ALUNO-68,1,F,Não,5.9,Quartzo,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.0,7.6,7.5,0.0,7.1,8.0,5.0
70,Escola Pública,ALUNO-71,0,A,Não,7.5,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,10.0,5.0,9.5,2.5,7.7,5.0
74,Rede Decisão/União,ALUNO-75,3,L,Sim,9.6,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,10.0,10.0,9.0,9.0,9.75,10.0
75,Escola Pública,ALUNO-76,0,B,Não,8.9,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.92,10.0,10.0,10.0,7.5,6.58,10.0
77,Escola Pública,ALUNO-78,1,A,Não,7.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,9.0,7.5,5.5,7.1,7.6,5.0
79,Escola Pública,ALUNO-80,2,N,Não,6.4,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",6.9,9.2,7.5,0.0,7.2,7.4,10.0
80,Escola Pública,ALUNO-81,4,L,Sim,7.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",5.42,8.8,7.5,6.0,8.0,9.11,5.0
81,Escola Pública,ALUNO-82,0,D,Não,7.9,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,10.0,7.5,8.5,7.0,7.3,5.0
82,Rede Decisão/União,ALUNO-83,4,B,Sim,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.17,9.4,5.63,5.3,8.9,9.1,10.0
83,Escola Pública,ALUNO-84,0,B,Não,8.7,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,10.0,10.0,8.5,7.5,6.9,10.0
84,Escola Pública,ALUNO-85,0,D,Não,7.2,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,9.9,2.5,10.0,2.5,6.67,5.0
85,Escola Pública,ALUNO-86,6,A,Não,5.6,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.33,4.9,7.5,3.6,7.5,5.7,5.0
86,Rede Decisão/União,ALUNO-87,4,L,Sim,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.33,9.2,5.63,6.6,8.7,8.7,10.0
87,Rede Decisão/União,ALUNO-88,2,D,Sim,9.0,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,9.4,7.5,9.5,5.9,9.58,10.0
88,Escola Pública,ALUNO-89,0,G,Não,7.9,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",10.0,10.0,7.5,7.5,7.0,7.5,5.0
89,Escola Pública,ALUNO-90,3,M,Não,7.0,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.33,5.8,7.5,7.6,7.97,7.5,5.0
90,Escola Pública,ALUNO-91,2,H,Não,6.8,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,6.4,6.88,4.5,6.0,7.58,10.0
93,Escola Pública,ALUNO-94,3,B,Não,6.7,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.08,6.0,7.5,4.0,7.97,7.5,10.0
94,Escola Pública,ALUNO-95,3,A,Não,7.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.58,8.2,7.5,6.6,7.97,6.7,5.0
95,Escola Pública,ALUNO-96,7,A,Sim,6.4,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.17,6.1,6.88,3.0,7.5,8.7,5.0
96,Escola Pública,ALUNO-97,2,D,Não,7.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,8.0,7.5,6.0,8.4,7.7,5.0
99,Escola Pública,ALUNO-100,1,M,Não,6.9,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.0,6.5,4.38,7.5,7.0,7.9,5.0
101,Escola Pública,ALUNO-102,1,J,Não,7.9,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.0,8.5,7.5,7.0,7.5,7.8,10.0
102,Escola Pública,ALUNO-103,0,F,Não,8.5,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,10.0,7.5,8.5,7.8,7.3,10.0
104,Escola Pública,ALUNO-105,3,B,Não,8.5,Topázio,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.17,9.6,7.5,8.0,7.97,7.67,10.0
105,Escola Pública,ALUNO-106,0,H,Não,8.4,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,10.0,7.5,10.0,7.5,7.5,5.0
110,Escola Pública,ALUNO-111,3,L,Não,6.8,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.92,7.7,7.5,4.5,7.97,7.8,5.0
111,Escola Pública,ALUNO-112,3,H,Não,6.4,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.92,6.8,4.38,5.3,7.7,7.6,5.0
112,Escola Pública,ALUNO-113,1,M,Não,7.6,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,8.8,7.5,7.5,7.5,7.9,5.0
114,Escola Pública,ALUNO-115,4,A,Não,5.3,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.17,1.9,6.88,5.1,7.9,5.1,5.0
116,Escola Pública,ALUNO-117,1,M,Não,8.0,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,8.9,7.5,9.5,7.1,7.9,5.0
117,Escola Pública,ALUNO-118,1,D,Não,8.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.5,7.7,7.5,10.0,7.1,7.4,10.0
119,Escola Pública,ALUNO-120,0,A,Não,7.8,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.0,10.0,8.13,9.5,2.5,7.6,5.0
124,Escola Pública,ALUNO-125,1,C,Não,7.1,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.0,9.0,7.5,5.0,7.7,7.3,5.0
127,Escola Pública,ALUNO-128,0,G,Não,5.8,Quartzo,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.4,10.0,5.63,5.5,2.5,3.5,5.0
131,Escola Pública,ALUNO-132,4,F,Não,7.3,Ametista,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",8.75,6.5,7.5,6.0,8.28,6.96,10.0
132,Escola Pública,ALUNO-133,0,D,Não,8.4,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",10.0,9.8,7.5,10.0,7.1,7.5,5.0
134,Escola Pública,ALUNO-135,1,A,Não,7.7,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",9.0,8.4,7.5,6.5,7.1,7.2,10.0
135,Escola Pública,ALUNO-136,5,A,Não,4.6,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.5,4.0,4.38,2.0,6.6,5.4,5.0
138,Escola Pública,ALUNO-139,5,L,Não,6.1,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.17,5.8,7.5,4.3,8.0,5.4,5.0
144,Rede Decisão/União,ALUNO-145,7,B,Sim,8.3,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.92,9.1,7.5,7.3,7.5,8.8,10.0
145,Escola Pública,ALUNO-146,1,C,Não,6.3,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,7.2,7.5,0.0,7.2,7.3,10.0
146,Escola Pública,ALUNO-147,2,C,Não,5.9,Quartzo,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.0,8.0,7.5,0.0,7.2,7.2,5.0
148,Escola Pública,ALUNO-149,6,B,Não,7.1,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",7.5,8.7,5.63,3.0,8.0,8.3,10.0
150,Escola Pública,ALUNO-151,1,R,Não,8.2,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Seu destaque em 2020: As suas boas notas na Passos Mágicos,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,9.5,7.5,7.5,9.1,8.6,5.0
151,Rede Decisão/União,ALUNO-152,3,B,Não,7.9,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",6.25,9.0,7.5,6.3,7.97,8.6,10.0
152,Rede Decisão/União,ALUNO-153,4,F,Sim,8.1,Ametista,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos,",10.0,9.0,7.5,4.6,8.59,9.1,10.0
153,Escola Pública,ALUNO-154,1,M,Não,5.8,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.5,7.1,7.5,0.0,7.8,7.9,5.0
155,Rede Decisão/União,ALUNO-156,2,J,Não,7.1,Ágata,"Seu destaque em 2020: A sua boa entrega das lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",7.9,8.9,7.5,5.0,6.6,8.11,5.0
156,Escola Pública,ALUNO-157,1,H,Não,7.1,Ágata,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.5,6.4,7.5,6.7,7.9,7.7,5.0
157,Escola Pública,ALUNO-158,3,E,Não,6.0,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",9.17,5.9,3.75,5.0,7.7,6.6,5.0
159,Escola Pública,ALUNO-160,1,H,Não,4.4,Quartzo,"Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa,","Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações,","Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos,",8.0,2.3,5.0,0.0,7.2,7.4,5.0
